exp,date,w,fss,q
E10,2018-11-22T06:00:00Z,1,0.461146214388649,1
E10,2018-11-22T06:00:00Z,5,0.566645179278425,1
E10,2018-11-22T06:00:00Z,11,0.63321600543872,1
E10,2018-11-22T06:00:00Z,51,0.81514937747482,1
E10,2018-11-22T06:00:00Z,101,0.909960238523147,1
E10,2018-11-22T06:00:00Z,1,0.398787878787879,5
E10,2018-11-22T06:00:00Z,5,0.49784344876403,5
E10,2018-11-22T06:00:00Z,11,0.580010973581566,5
E10,2018-11-22T06:00:00Z,51,0.821857674198106,5
E10,2018-11-22T06:00:00Z,101,0.905634117011058,5
E10,2018-11-22T06:00:00Z,1,0.347069065583285,10
E10,2018-11-22T06:00:00Z,5,0.44466456626558,10
E10,2018-11-22T06:00:00Z,11,0.544725919518472,10
E10,2018-11-22T06:00:00Z,51,0.854175877427964,10
E10,2018-11-22T06:00:00Z,101,0.921018767307291,10
E10,2018-11-22T06:00:00Z,1,0.0702781844802343,25
E10,2018-11-22T06:00:00Z,5,0.11442268006104,25
E10,2018-11-22T06:00:00Z,11,0.219305647796445,25
E10,2018-11-22T06:00:00Z,51,0.782738410030967,25
E10,2018-11-22T06:00:00Z,101,0.834693166853108,25
E10,2018-11-22T06:00:00Z,1,0,50
E10,2018-11-22T06:00:00Z,5,0,50
E10,2018-11-22T06:00:00Z,11,0.00674950212770298,50
E10,2018-11-22T06:00:00Z,51,0.655442455368289,50
E10,2018-11-22T06:00:00Z,101,0.795565199537335,50
E10,2018-11-22T07:00:00Z,1,0.463603409424905,1
E10,2018-11-22T07:00:00Z,5,0.560691402313661,1
E10,2018-11-22T07:00:00Z,11,0.626713406130856,1
E10,2018-11-22T07:00:00Z,51,0.828088126082914,1
E10,2018-11-22T07:00:00Z,101,0.904244535921869,1
E10,2018-11-22T07:00:00Z,1,0.469296055916126,5
E10,2018-11-22T07:00:00Z,5,0.564494903725202,5
E10,2018-11-22T07:00:00Z,11,0.642419878275596,5
E10,2018-11-22T07:00:00Z,51,0.840962256023896,5
E10,2018-11-22T07:00:00Z,101,0.908833806845714,5
E10,2018-11-22T07:00:00Z,1,0.424506654428637,10
E10,2018-11-22T07:00:00Z,5,0.528438494282429,10
E10,2018-11-22T07:00:00Z,11,0.620056966307756,10
E10,2018-11-22T07:00:00Z,51,0.855258300380876,10
E10,2018-11-22T07:00:00Z,101,0.914233917173705,10
E10,2018-11-22T07:00:00Z,1,0.152228342513771,25
E10,2018-11-22T07:00:00Z,5,0.22313671160911,25
E10,2018-11-22T07:00:00Z,11,0.337923101471205,25
E10,2018-11-22T07:00:00Z,51,0.771105478525112,25
E10,2018-11-22T07:00:00Z,101,0.813079614326324,25
E10,2018-11-22T07:00:00Z,1,0,50
E10,2018-11-22T07:00:00Z,5,0.00871215544509707,50
E10,2018-11-22T07:00:00Z,11,0.0426086451826271,50
E10,2018-11-22T07:00:00Z,51,0.655846059076821,50
E10,2018-11-22T07:00:00Z,101,0.746743172099766,50
E10,2018-11-22T08:00:00Z,1,0.457400659378796,1
E10,2018-11-22T08:00:00Z,5,0.545045012586029,1
E10,2018-11-22T08:00:00Z,11,0.608103233852718,1
E10,2018-11-22T08:00:00Z,51,0.81750504381304,1
E10,2018-11-22T08:00:00Z,101,0.884023352831117,1
E10,2018-11-22T08:00:00Z,1,0.489928158895619,5
E10,2018-11-22T08:00:00Z,5,0.584530292332047,5
E10,2018-11-22T08:00:00Z,11,0.658927847507527,5
E10,2018-11-22T08:00:00Z,51,0.846649721028859,5
E10,2018-11-22T08:00:00Z,101,0.907943497587598,5
E10,2018-11-22T08:00:00Z,1,0.485415520088057,10
E10,2018-11-22T08:00:00Z,5,0.58726081028843,10
E10,2018-11-22T08:00:00Z,11,0.678161868174709,10
E10,2018-11-22T08:00:00Z,51,0.867365386172398,10
E10,2018-11-22T08:00:00Z,101,0.919833276557855,10
E10,2018-11-22T08:00:00Z,1,0.278899082568807,25
E10,2018-11-22T08:00:00Z,5,0.379911423795411,25
E10,2018-11-22T08:00:00Z,11,0.50026096995766,25
E10,2018-11-22T08:00:00Z,51,0.818759628746578,25
E10,2018-11-22T08:00:00Z,101,0.865515697299462,25
E10,2018-11-22T08:00:00Z,1,0.0269299820466786,50
E10,2018-11-22T08:00:00Z,5,0.0700488851794444,50
E10,2018-11-22T08:00:00Z,11,0.155215826450157,50
E10,2018-11-22T08:00:00Z,51,0.661052542632112,50
E10,2018-11-22T08:00:00Z,101,0.762121533732684,50
E10,2018-11-22T09:00:00Z,1,0.502092687010121,1
E10,2018-11-22T09:00:00Z,5,0.581511872671205,1
E10,2018-11-22T09:00:00Z,11,0.63860862623582,1
E10,2018-11-22T09:00:00Z,51,0.83484388797592,1
E10,2018-11-22T09:00:00Z,101,0.892184996700803,1
E10,2018-11-22T09:00:00Z,1,0.511851762724101,5
E10,2018-11-22T09:00:00Z,5,0.596188891174175,5
E10,2018-11-22T09:00:00Z,11,0.66652473944852,5
E10,2018-11-22T09:00:00Z,51,0.845449456161027,5
E10,2018-11-22T09:00:00Z,101,0.899160869907255,5
E10,2018-11-22T09:00:00Z,1,0.485896836527973,10
E10,2018-11-22T09:00:00Z,5,0.581977320621817,10
E10,2018-11-22T09:00:00Z,11,0.669227941656724,10
E10,2018-11-22T09:00:00Z,51,0.848965526356939,10
E10,2018-11-22T09:00:00Z,101,0.904109190070917,10
E10,2018-11-22T09:00:00Z,1,0.342383538153758,25
