exp,date,w,fss,q
EG2,2018-11-21T00:00:00Z,1,0.19488631857986,1
EG2,2018-11-21T00:00:00Z,5,0.288475448511977,1
EG2,2018-11-21T00:00:00Z,11,0.361595022289744,1
EG2,2018-11-21T00:00:00Z,51,0.339073493926474,1
EG2,2018-11-21T00:00:00Z,101,0.326692409095816,1
EG2,2018-11-21T00:00:00Z,1,0.0519918629490786,5
EG2,2018-11-21T00:00:00Z,5,0.134529038828819,5
EG2,2018-11-21T00:00:00Z,11,0.229520283700747,5
EG2,2018-11-21T00:00:00Z,51,0.258843763911409,5
EG2,2018-11-21T00:00:00Z,101,0.243240198331169,5
EG2,2018-11-21T00:00:00Z,1,0.00104087155645005,10
EG2,2018-11-21T00:00:00Z,5,0.0678041498807915,10
EG2,2018-11-21T00:00:00Z,11,0.194661327707113,10
EG2,2018-11-21T00:00:00Z,51,0.254211086051343,10
EG2,2018-11-21T00:00:00Z,101,0.248272567095898,10
EG2,2018-11-21T00:00:00Z,1,0,25
EG2,2018-11-21T00:00:00Z,5,0,25
EG2,2018-11-21T00:00:00Z,11,0,25
EG2,2018-11-21T00:00:00Z,51,0,25
EG2,2018-11-21T00:00:00Z,101,0.00339574555873701,25
EG2,2018-11-21T00:00:00Z,1,0,50
EG2,2018-11-21T00:00:00Z,5,0,50
EG2,2018-11-21T00:00:00Z,11,0,50
EG2,2018-11-21T00:00:00Z,51,0,50
EG2,2018-11-21T00:00:00Z,101,0,50
EG2,2018-11-21T01:00:00Z,1,0.181028925500559,1
EG2,2018-11-21T01:00:00Z,5,0.280726286654518,1
EG2,2018-11-21T01:00:00Z,11,0.359230877737532,1
EG2,2018-11-21T01:00:00Z,51,0.358059084243023,1
EG2,2018-11-21T01:00:00Z,101,0.343123368459259,1
EG2,2018-11-21T01:00:00Z,1,0.0390565907996978,5
EG2,2018-11-21T01:00:00Z,5,0.119607074860149,5
EG2,2018-11-21T01:00:00Z,11,0.213828769552879,5
EG2,2018-11-21T01:00:00Z,51,0.243334672024781,5
EG2,2018-11-21T01:00:00Z,101,0.225354850185219,5
EG2,2018-11-21T01:00:00Z,1,0.00107807993962705,10
EG2,2018-11-21T01:00:00Z,5,0.0539969512545465,10
EG2,2018-11-21T01:00:00Z,11,0.143386116917114,10
EG2,2018-11-21T01:00:00Z,51,0.171845083974842,10
EG2,2018-11-21T01:00:00Z,101,0.163252266426366,10
EG2,2018-11-21T01:00:00Z,1,0,25
EG2,2018-11-21T01:00:00Z,5,0,25
EG2,2018-11-21T01:00:00Z,11,0,25
EG2,2018-11-21T01:00:00Z,51,0,25
EG2,2018-11-21T01:00:00Z,101,0.0039253953844034,25
EG2,2018-11-21T01:00:00Z,1,0,50
EG2,2018-11-21T01:00:00Z,5,0,50
EG2,2018-11-21T01:00:00Z,11,0,50
EG2,2018-11-21T01:00:00Z,51,0,50
EG2,2018-11-21T01:00:00Z,101,0,50
EG2,2018-11-21T02:00:00Z,1,0.161381280935778,1
EG2,2018-11-21T02:00:00Z,5,0.252032142452733,1
EG2,2018-11-21T02:00:00Z,11,0.323284672757604,1
EG2,2018-11-21T02:00:00Z,51,0.355367880490231,1
EG2,2018-11-21T02:00:00Z,101,0.34489785660874,1
EG2,2018-11-21T02:00:00Z,1,0.0295917180411769,5
EG2,2018-11-21T02:00:00Z,5,0.100643546943792,5
EG2,2018-11-21T02:00:00Z,11,0.20278408555119,5
EG2,2018-11-21T02:00:00Z,51,0.260575769923811,5
EG2,2018-11-21T02:00:00Z,101,0.245267476541698,5
EG2,2018-11-21T02:00:00Z,1,0.000998843006849937,10
